name,description,latitude,longitude
"KFC-Anchorage,AK",,61.19542,-149.88412
"KFC-Anchorage,AK",,61.18161,-149.86795
"KFC-Anchorage,AK",,61.14245,-149.84723
"KFC-Anchorage,AK",,61.18072,-149.83383
"KFC-Anchorage,AK",,61.21138,-149.80791
"KFC-Anchorage,AK",,61.22396,-149.73366
"KFC-Eagle River,AK",,61.32375,-149.57173
"KFC-Fairbanks,AK",,64.85249,-147.71029
"KFC-Fairbanks,AK",,64.8369,-147.80226
"KFC-Kodiak,AK",,57.80915,-152.36525
"KFC-Wasilla,AK",,61.57912,-149.40446
"KFC-Albertville,AL",,34.27619,-86.20572
"KFC-Alexander City,AL",,32.92154,-85.94241
"KFC-Andalusia,AL",,31.27594,-86.51839
"KFC-Anniston,AL",,33.67044,-85.82692
"KFC-Arab,AL",,34.32645,-86.5028
"KFC-Athens,AL",,34.78947,-86.96783
"KFC-Atmore,AL",,31.00958,-87.49361
"KFC-Auburn,AL",,32.62451,-85.44669
"KFC-Bessemer,AL",,33.40599,-86.96167
"KFC-Birmingham,AL",,33.50954,-86.88564
"KFC-Birmingham,AL",,33.49195,-86.8835
"KFC-Birmingham,AL",,33.542,-86.8327
"KFC-Birmingham,AL",,33.45987,-86.8175
"KFC-Birmingham,AL",,33.53074,-86.71432
"KFC-Birmingham,AL",,33.62966,-86.68501
"KFC-Birmingham,AL",,33.60226,-86.6382
"KFC-Boaz,AL",,34.20454,-86.15244
"KFC-Centre,AL",,34.16186,-85.6928
"KFC-Centreville,AL",,32.94559,-87.14388
"KFC-Chelsea,AL",,33.34899,-86.62465
"KFC-Childersburg,AL",,33.28337,-86.36179
"KFC-Clanton,AL",,32.80401,-86.59142
"KFC-Columbiana,AL",,33.17975,-86.61124
"KFC-Cullman,AL",,34.20661,-86.87121
"KFC-Cullman,AL",,34.15802,-86.8345
"KFC-Daphne,AL",,30.62773,-87.90957
"KFC-Decatur,AL",,34.585,-87.02448
"KFC-Decatur,AL",,34.56154,-86.97317
"KFC-Demopolis,AL",,32.50356,-87.83762
"KFC-Dothan,AL",,31.23665,-85.45964
"KFC-Dothan,AL",,31.22766,-85.39378
"KFC-Dothan,AL",,31.25304,-85.3879
"KFC-Dothan,AL",,31.1929,-85.37964
"KFC-Enterprise,AL",,31.31663,-85.83052
"KFC-Eufaula,AL",,31.88241,-85.14573
"KFC-Evergreen,AL",,31.44223,-86.95294
"KFC-Fairfield,AL",,33.46747,-86.91666
"KFC-Fayette,AL",,33.71658,-87.81734
"KFC-Florence,AL",,34.81884,-87.6869
"KFC-Florence,AL",,34.83276,-87.62913
"KFC-Foley,AL",,30.38012,-87.68346
"KFC-Forestdale,AL",,33.56004,-86.89165
"KFC-Fort Payne,AL",,34.46743,-85.70094
"KFC-Gadsden,AL",,34.00803,-85.98387
"KFC-Gardendale,AL",,33.65224,-86.81967
"KFC-Geneva,AL",,31.0458,-85.89233
"KFC-Greenville,AL",,31.84743,-86.62659
"KFC-Guntersville,AL",,34.34467,-86.30482
"KFC-Haleyville,AL",,34.22763,-87.62246
"KFC-Hamilton,AL",,34.1418,-87.98612
"KFC-Hanceville,AL",,34.0761,-86.78145
"KFC-Hartselle,AL",,34.45753,-86.94733
"KFC-Hokes Bluff,AL",,33.98577,-85.86673
"KFC-Hueytown,AL",,33.45379,-87.01129
"KFC-Huntsville,AL",,34.7359,-86.62742
"KFC-Huntsville,AL",,34.7592,-86.59136
"KFC-Huntsville,AL",,34.71289,-86.59126
"KFC-Huntsville,AL",,34.65612,-86.56924
"KFC-Huntsville,AL",,34.77314,-86.53281
"KFC-Jacksonville,AL",,33.81754,-85.76109
"KFC-Jasper,AL",,33.84892,-87.28453
"KFC-Lafayette,AL",,32.88286,-85.408
"KFC-Leeds,AL",,33.56194,-86.52218
"KFC-Lincoln,AL",,33.59539,-86.12146
