all,Longitude,Latitude,Address,latitude,longitude
,0.0,0.0,,0.0,0.0
McDonald's,0.0,0.0,"13040 Coit At L B J, Dallas, TX 75201",0.0,0.0
McDonald's,-88.11,41.63,"1300 Marquette Dr, Romeoville, IL 60446",41.63,-88.11
McDonald's,-111.998407,41.271876,"534 N Harrisville Rd, Ogden, UT 84404",41.271876,-111.998407
McDonald's,-111.946488,41.185002,"3875 Washington Blvd, Ogden, UT 84403",41.185002,-111.946488
McDonald's,-111.796354,40.393885,"850 E Main St, American Fork, UT 84003",40.393885,-111.796354
McDonald's,-111.96844,41.164148,"4848 S 900 W, Ogden, UT 84405",41.164148,-111.96844
McDonald's,-111.992694,41.176697,"909 W Riverdale Rd, Riverdale, UT 84405",41.176697,-111.992694
McDonald's,-111.946488,41.185002,"5745 Harrison Blvd, South Ogden, UT 84403",41.185002,-111.946488
McDonald's,-111.866853,40.508883,"303 E 12300 S, Draper, UT 84020",40.508883,-111.866853
McDonald's,-111.823364,40.667437,"1877 Murray Holladay Rd, Holladay, UT 84117",40.667437,-111.823364
McDonald's,0.0,0.0,"3497 S 5600 W, West Valley City, UT 84120",0.0,0.0
McDonald's,0.0,0.0,"4217 S Redwood Rd, Salt Lake City, UT 84123",0.0,0.0
McDonald's,0.0,0.0,"3464 W 3500 S, Salt Lake City, UT 84119",0.0,0.0
McDonald's,0.0,0.0,"2064 S 300 W, Salt Lake City, UT 84115",0.0,0.0
McDonald's,0.0,0.0,"36 S State St, Salt Lake City, UT 84111",0.0,0.0
McDonald's,-98.273749,29.844295,"8036 Fm 2673, Canyon Lake, TX 78133",29.844295,-98.273749
McDonald's,-97.307988,30.118028,"WAL-MART Supercenter, Bastrop, TX 78602",30.118028,-97.307988
McDonald's,-97.307988,30.118028,"496 Highway 71 W, Bastrop, TX 78602",30.118028,-97.307988
McDonald's,-97.65146,30.639953,"620 S Ih 35, Georgetown, TX 78626",30.639953,-97.65146
McDonald's,-97.411538,30.227768,"220 Highway 290 E, Elgin, TX 78621",30.227768,-97.411538
McDonald's,-97.805912,30.29132,"3300 Bee Cave Rd, West Lake Hills, TX 78746",30.29132,-97.805912
McDonald's,-97.95795,35.02759,"1901 Interstate 44, Chickasha, OK 73018",35.02759,-97.95795
McDonald's,-97.480464,35.200412,"I-35, Norman, OK 73069",35.200412,-97.480464
McDonald's,-97.617646,35.241991,"3524 Hill Star Dr, Newcastle, OK 73065",35.241991,-97.617646
McDonald's,-97.733309,35.391289,"400 N Trade Center Ter Apt 101, Mustang, OK 73064",35.391289,-97.733309
McDonald's,-97.522603,35.673776,"1235 N Kelly Ave, Edmond, OK 73003",35.673776,-97.522603
McDonald's,0.0,0.0,"630 Nw 12th St, Oklahoma City, OK 73160",0.0,0.0
McDonald's,-97.638217,35.55421,"5812 NW Expressway St, Warr Acres, OK 73132",35.55421,-97.638217
McDonald's,-97.558907,35.384679,"9001 S Pennsylvania Ave, Oklahoma City, OK 73159",35.384679,-97.558907
McDonald's,-87.77,41.79,"5700 S Cicero Ave, Chicago, IL 60638",41.79,-87.77
McDonald's,-97.52668,35.3845,"7525 S Western Ave, Oklahoma City, OK 73139",35.3845,-97.52668
McDonald's,0.0,0.0,"9000 SE 29th St, Oklahoma City, OK 73130",0.0,0.0
McDonald's,-97.418491,35.223852,"1150 Alameda St, Norman, OK 73071",35.223852,-97.418491
McDonald's,-87.77,41.79,"6430 S Cicero Ave, Chicago, IL 60638",41.79,-87.77
McDonald's,0.0,0.0,"4502 SE 29th St, Oklahoma City, OK 73115",0.0,0.0
McDonald's,-70.738723,43.108692,"Route 1, Kittery, ME 03904",43.108692,-70.738723
McDonald's,-70.060612,43.996646,"Lisbon Falls, ME 04252",43.996646,-70.060612
McDonald's,-87.74,41.9,"5153 W Chicago Ave, Chicago, IL 60651",41.9,-87.74
McDonald's,-69.963854,43.916805,"7 Gurnet Rd, Brunswick, ME 04011",43.916805,-69.963854
McDonald's,-87.71,41.78,"6737 S Pulaski Rd, Chicago, IL 60629",41.78,-87.71
McDonald's,-70.187364,43.800875,"750 Route 1, Yarmouth, ME 04096",43.800875,-70.187364
McDonald's,-70.232764,43.72049,"Rt 1, Falmouth, ME 04105",43.72049,-70.232764
McDonald's,-90.417682,32.85015,"741 E Fifteenth St, Yazoo City, MS 39194",32.85015,-90.417682
McDonald's,-90.257342,32.328255,"4675 Clinton Blvd, Jackson, MS 39209",32.328255,-90.257342
McDonald's,-122.29699,38.334514,"3392 Solano Ave, Napa, CA 94558",38.334514,-122.29699
